epoch,accuracy,loss,val_accuracy,val_loss
0,0.3668749928474426,1.7652052640914917,0.6287500262260437,1.371964693069458
1,0.5946875214576721,1.1784511804580688,0.7112500071525574,0.9332473874092102
2,0.6978124976158142,0.8685232400894165,0.7487499713897705,0.7723884582519531
3,0.745312511920929,0.7208581566810608,0.7787500023841858,0.7004659175872803
4,0.7809374928474426,0.6127517223358154,0.8050000071525574,0.6539837121963501
5,0.8101562261581421,0.5253118276596069,0.8187500238418579,0.6188739538192749
6,0.836718738079071,0.4649069309234619,0.8112499713897705,0.6235613226890564
7,0.8500000238418579,0.4266928732395172,0.8349999785423279,0.6017815470695496
8,0.8628125190734863,0.3889250159263611,0.8362500071525574,0.565559983253479
9,0.87890625,0.3451898992061615,0.8399999737739563,0.5792894959449768
